EAN;Título;Autor;Editorial;Ejemplares;PVP;Precio liquidación;Valor total;Hecho
'9788466795425;REGALO DE LA HIJA DL REY;MASINI, BEATRICE;ANAYA ELE;2;5,95;5,65;11,90;
'9788466795432;LA PEQUEÑA DRAGONA;MASINI, BEATRICE;ANAYA ELE;2;5,95;5,65;11,90;
'9788469808801;IVANHOE;SCOTT, WALTER;ANAYA INFANTIL Y JUVENIL;4;15,95;15,15;63,80;
'9788469827475;CUENTOS DE ANTAÑO;PERRAULT, CHARLES;ANAYA INFANTIL Y JUVENIL;3;15,95;15,15;47,85;
'9788414336939;LOS MAPAS DEL AGUA;GÓMEZ, RICARDO;ANAYA INFANTIL Y JUVENIL;3;13,95;13,25;41,85;
'9788414334805;LA VUELTA AL MUNDO;VERNE, JULES;ANAYA INFANTIL Y JUVENIL;2;17,95;17,05;35,90;
'9788469891063;RIMA QUE RIMA;MARTÍ I BERTRAN, PERE;ANAYA INFANTIL Y JUVENIL;2;17,95;17,05;35,90;
'9788414335222;ANIMALOTES 13-14;BLABEY, AARON;ANAYA INFANTIL Y JUVENIL;2;14,90;14,15;29,80;
'9788414336656;GATA LA FUGA 2;BLABEY, AARON;ANAYA INFANTIL Y JUVENIL;2;14,90;14,15;29,80;
'9788414336809;ANIMALOTES 15 Y 16;BLABEY, AARON;ANAYA INFANTIL Y JUVENIL;2;14,90;14,15;29,80;
'9788469848593;ANIMALOTES: FOLLÓN INTER;BLABEY, AARON;ANAYA INFANTIL Y JUVENIL;2;14,90;14,15;29,80;
'9788469866221;ANIMALOTES DESMADRE;BLABEY, AARON;ANAYA INFANTIL Y JUVENIL;2;14,90;14,15;29,80;
'9788469888858;ANIMALOTES 9 Y 10;BLABEY, AARON;ANAYA INFANTIL Y JUVENIL;2;14,90;14,15;29,80;
'9788469891452;ANIMAL11 Y 12: SEÑOR OSC;BLABEY, AARON;ANAYA INFANTIL Y JUVENIL;2;14,90;14,15;29,80;
'9788414341636;UN MUNDO FELIZ;HUXLEY, ALDOUS;ANAYA INFANTIL Y JUVENIL;2;14,50;13,77;29,00;
'9788467828719;ROBINSON CRUSOE;DEFOE, DANIEL;ANAYA INFANTIL Y JUVENIL;2;14,50;13,77;29,00;
'9788467840070;FÁBULAS;ESOPO;ANAYA INFANTIL Y JUVENIL;2;14,50;13,77;29,00;
'9788469847978;MOBY DICK;MELVILLE, HERMAN;ANAYA INFANTIL Y JUVENIL;2;14,50;13,77;29,00;
'9788414340516;SUPERBEBÉS;BUNTING, PHILIP;ANAYA INFANTIL Y JUVENIL;2;13,95;13,25;27,90;
'9788420712277;ROBINSON CRUSOE;DEFOE, DANIEL;ANAYA INFANTIL Y JUVENIL;2;13,95;13,25;27,90;
'9788467861259;LECHUZA DETECTIVE 2: OP;LECHUZA, EQUIPO;ANAYA INFANTIL Y JUVENIL;2;13,95;13,25;27,90;
'9788469808412;LOS TRES MOSQUETEROS;DUMAS, ALEXANDRE;ANAYA INFANTIL Y JUVENIL;2;13,95;13,25;27,90;
'9788469809174;LECHUZA DETECTIVE 4;LECHUZA, EQUIPO;ANAYA INFANTIL Y JUVENIL;2;13,95;13,25;27,90;
'9788469836071;LOS VIAJES DE GULLIVER;SWIFT, JONATHAN;ANAYA INFANTIL Y JUVENIL;2;13,95;13,25;27,90;
'9788469847985;EL MAGO DE OZ;BAUM, L. FRANK;ANAYA INFANTIL Y JUVENIL;2;13,95;13,25;27,90;
'9788469885581;MUJERCITAS;ALCOTT, LOUISA MAY;ANAYA INFANTIL Y JUVENIL;2;13,95;13,25;27,90;
'9788469886144;LECHUZA 5:CINCO SALVAJES;LECHUZA, EQUIPO;ANAYA INFANTIL Y JUVENIL;2;13,95;13,25;27,90;
'9788469890950;EL TREN FANTASMA;ORUÑA, MARÍA;ANAYA INFANTIL Y JUVENIL;2;13,95;13,25;27,90;
'9788467829075;EL CORSARIO NEGRO;SALGARI, EMILIO;ANAYA INFANTIL Y JUVENIL;2;13,50;12,82;27,00;
'9788467829099;FÁBULAS;SAMANIEGO, FÉLIX M.;ANAYA INFANTIL Y JUVENIL;2;13,50;12,82;27,00;
'9788414340615;LA PANDILLA WASABI 1;"DÍAZ, ALBERTO;NÚÑEZ, ÁLVARO";ANAYA INFANTIL Y JUVENIL;2;10,95;10,40;21,90;
'9788414359914;TITANES DEL FÚTBOL, 3;BARAT, J. R.;ANAYA INFANTIL Y JUVENIL;2;9,50;9,03;19,00;
'9788414360026;TITANES DEL FÚTBOL, 4;BARAT, J. R.;ANAYA INFANTIL Y JUVENIL;2;9,50;9,03;19,00;
'9788414360118;EL ENIGMA DE LA MÁSCARA;BARAT, J. R.;ANAYA INFANTIL Y JUVENIL;2;9,50;9,03;19,00;
'9788414340578;EL VIAJE IMPOSIBLE;MONTAÑÁ, RUBÈN;ANAYA INFANTIL Y JUVENIL;2;7,95;7,55;15,90;
'9788414340592;PEPITO CARAPIZZA;SALMERÓN, RAFAEL;ANAYA INFANTIL Y JUVENIL;2;7,95;7,55;15,90;
'9788467829310;ISABELITA LA EXPLORADORA;MASINI, BEATRICE;ANAYA INFANTIL Y JUVENIL;2;5,95;5,65;11,90;
'9788441549425;CARLOS ALCARAZ;"RUIZ, LÉO;SO FOOT";ANAYA MULTIMEDIA;2;19,50;18,52;39,00;
'9798579374141;HOTEL SINGAPUR;GERARDO FERNÁNDEZ FE;AUDERE LIBROS;3;19,67;18,69;59,01;
'9788466679923;TODO MUERE;JUAN GÓMEZ-JURADO;B;3;24,90;23,65;74,70;
'9788466682947;EL JUICIO;LUIS ZUECO;B;2;24,90;23,65;49,80;
'9788466680455;REINA ROJA. EL DESAFÍO;JUAN GÓMEZ-JURADO;B;2;17,90;17,00;35,80;
'9788418054525;AMANDA BLACK 3. EL ÚLTIMO MINUTO;JUAN GÓMEZ-JURADO;B DE BLOK;2;15,95;15,15;31,90;
'9788418688270;AMANDA BLACK 4 - LA CAMPANA DE JADE;"BÁRBARA ;MONTES";B DE BLOK;2;15,95;15,15;31,90;
'9788418688287;AMANDA BLACK 5 - EL TAÑIDO SEPULCRAL;"BÁRBARA ;MONTES";B DE BLOK;2;15,95;15,15;31,90;
'9788418688355;AMANDA BLACK 6 - LA MALDICIÓN DEL NILO;"BÁRBARA ;MONTES";B DE BLOK;2;15,95;15,15;31,90;
'9788419048677;AMANDA BLACK 7 - EL BASTÓN DEL CUERVO;"BÁRBARA ;MONTES;JUAN;MONTES GOMEZ-JURADO";B DE BLOK;2;15,95;15,15;31,90;
'9788419378309;AMANDA BLACK 8 - EL REINO PERDIDO;"JUAN GÓMEZ-JURADO;BÁRBARA MONT;BÁRBARA ;MONTES";B DE BLOK;2;15,95;15,15;31,90;
'9788419378323;AMANDA BLACK 9 - EL CAMINO DEL NINJA;"BÁRBARA ;MONTES";B DE BLOK;2;15,95;15,15;31,90;
'9788419910509;AMANDA BLACK 11 - EL TEMPLO OLVIDADO;"BÁRBARA ;MONTES";B DE BLOK;2;15,95;15,15;31,90;
'9788419910547;AMANDA BLACK 10 - LA PELÍCULA MALDITA;"BÁRBARA ;MONTES";B DE BLOK;2;15,95;15,15;31,90;
'9788412899009;TESTIMONIOS SOBRE MARIANA;GARRO, ELENA;BAMBA EDITORIAL;2;19,90;18,90;39,80;
'9788412595741;VIENTO DEL NORTE;QUIROGA, ELENA;BAMBA EDITORIAL;2;17,90;17,00;35,80;
'9788410025172;VIAJE AL INFINITO (EDICIÓN GRAN FORMATO A TODO COL;GALFARD, CHRISTOPHE;BLACKIE BOOKS;2;34,90;33,15;69,80;
'9788418733918;ILÍADA;HOMERO;BLACKIE BOOKS;2;32,90;31,25;65,80;
'9788416290710;CÓMO SER BILL MURRAY;GAVIN EDWARDS;BLACKIE BOOKS;2;23,00;21,85;46,00;
'9788410025844;EL TAO DE WU;RZA;BLACKIE BOOKS;2;22,00;20,90;44,00;
'9788410323742;NO LA DEJES SOLA;DE FEZ, DESIREE;BLACKIE BOOKS;2;22,00;20,90;44,00;
'9788417059729;CUADERNO BLACKIE BOOKS. VOL. 7;LÓPEZ VALLE, DANIEL;BLACKIE BOOKS;3;12,90;12,25;38,70;
'9788419172877;CARTAS DE AMOR DE 0 A 10;MORGENTSTERN, SUSIE;BLACKIE BOOKS;2;17,90;17,00;35,80;
'9788419654632;MIEL DE LUNA;KRAEGEL, KENNETH;BLACKIE BOOKS;2;17,90;17,00;35,80;
'9788419654014;CAMPAMENTO FANTASMA. ¡UNAS VACACIONES DE MIEDO!;DOLAN, TAYLOR;BLACKIE BOOKS;2;16,90;16,05;33,80;
'9788419654571;DIARIO DE UN GATO ASESINO. FELIZ NAVIDAD;FINE, ANNE;BLACKIE BOOKS;2;13,90;13,21;27,80;
'9788418733642;EL SETO DE LAS ZARZAS. CUENTO DE MAR;BARKLEM, JILL;BLACKIE BOOKS;2;12,90;12,25;25,80;
'9788418733666;EL SETO DE LAS ZARZAS. LA GRAN SORPRESA;BARKLEM, JILL;BLACKIE BOOKS;2;12,90;12,25;25,80;
'9788417417727;ROM COM;MUÑIZ, CLAUDIA;CABALLO DE TROYA;2;15,90;15,11;31,80;
'9788412814057;Y EL SOL SE QUEDÓ DORMIDO SOBRE EL ADRIÁTICO;ÁFRICA MESA RUBIO;CALLA CANALLA;2;19,50;18,52;39,00;
'9788412779851;RICOS NO PAGAN IRPF, LOS;"CRUZADO, CARLOS;MOLLINEDO,JOSE MARIA";CAPITÁN SWING LIBROS;2;22,00;20,90;44,00;
'9788494555305;BEBÉS EN MOVIMIENTO;MARÍA DEL MAR SÁNCHEZ Y LORENA GUTIÉRREZ FERNÁNDEZ;CASITA DE PAZ;3;15,00;14,25;45,00;
'9786289556513;CUBANÍAS;VV.AA.;CIVIL RIGHTS DEFENDERS;15;18,60;17,67;279,00;
'9788485707713;CUENTOS EUROPEOS DE NAVIDAD (NUEVO);VARIOS;CLAN;2;26,00;24,70;52,00;
'9788496745735;CUENTOS DE NAVIDAD Y REYES;PARDO BAZÁN, EMILIA;CLAN;2;21,00;19,95;42,00;
'9788409689866;ESCRIBIR ANTES;URRACA, SABINA;COMISURA;2;20,00;19,00;40,00;
'9788419490322;ALIENTO, OJOS, MEMORIA;DANTICAT, EDWIDGE;CONSONNI;3;19,90;18,90;59,70;
'9788419490278;ULTIMA CASA, LA;URRETABIZKAIA, ARANTXA;CONSONNI;2;18,50;17,57;37,00;
'9788418945915;COMPASES TIEMPO BOLSILLO;APARICIO VINSONNEAU, BIANCA;CONTRALUZ EDITORIAL;4;14,90;14,15;59,60;
'9788419822901;CUANDO TE ATREVAS;MOLINA, TAMARA;CONTRALUZ EDITORIAL;3;19,50;18,52;58,50;
'9788419822109;DIAMANTES DE KALIMANTÁN;MELERO, NINA;CONTRALUZ EDITORIAL;2;23,95;22,75;47,90;
'9788418945632;LAS AGUAS SAGRADAS;R. AYAMONTE, MAY;CONTRALUZ EDITORIAL;2;22,95;21,80;45,90;
'9788418945663;EL COCINERO;CEREZO, LUIS;CONTRALUZ EDITORIAL;2;22,95;21,80;45,90;
'9788418945823;SIN FILTROS;BRAVO, PALOMA;CONTRALUZ EDITORIAL;2;22,95;21,80;45,90;
'9788418945854;MELINA;LUCAS, JUAN RAMÓN;CONTRALUZ EDITORIAL;2;22,95;21,80;45,90;
'9788418945861;OTRAS AVES;ADDISON ALLEN, SARAH;CONTRALUZ EDITORIAL;2;22,95;21,80;45,90;
'9788419822680;EL REY DE BRONCE;ALANDES, JAVIER;CONTRALUZ EDITORIAL;2;22,50;21,38;45,00;
'9788418945885;AMOR A SEGUNDA VISTA;CHRISTIE, ANNETTE;CONTRALUZ EDITORIAL;2;21,95;20,85;43,90;
'9788418945342;LA EMPERATRIZ;GRIFFIS, GIGI;CONTRALUZ EDITORIAL;2;20,95;19,90;41,90;
'9788418945465;JAQUE MATE AL AMOR;HAZELWOOD, ALI;CONTRALUZ EDITORIAL;2;20,50;19,47;41,00;
'9788418945700;LA TEORÍA DEL AMOR;HAZELWOOD, ALI;CONTRALUZ EDITORIAL;2;20,50;19,47;41,00;
'9788419822123;NO ES AMOR;HAZELWOOD, ALI;CONTRALUZ EDITORIAL;2;20,50;19,47;41,00;
'9788419822956;AÚN NO ESTOY MUERTA;JACKSON, HOLLY;CONTRALUZ EDITORIAL;2;20,50;19,47;41,00;
'9788419822413;ESTRELLAS DE CIUDAD;MARTÍ, CARLA;CONTRALUZ EDITORIAL;2;19,50;18,52;39,00;
'9788418945908;NIÑAS SALVAJES BOLSILLO;R. AYAMONTE, MAY;CONTRALUZ EDITORIAL;2;14,90;14,15;29,80;
'9788418945724;SILENCIOS DE HUGO 13/20;CHACÓN, INMA;CONTRALUZ EDITORIAL;2;11,95;11,35;23,90;
'9788419822178;HIPÓTESIS AMOR(BOLSILLO);HAZELWOOD, ALI;CONTRALUZ EDITORIAL;2;10,95;10,40;21,90;
'9788417375782;LOS ÁRBOLES;EVERETT, PERCIVAL;DE CONATUS;2;22,90;21,75;45,80;
'9788417375126;TONIO KRÖGER;MANN, THOMAS;DE CONATUS;2;14,00;13,30;28,00;
'9788417375027;UN CORAZÓN SENCILLO;"FLAUBERT, GUSTAVE; FLAUBERT, GUSTAVE";DE CONATUS;2;12,00;11,40;24,00;
'9788417375089;LOS MUERTOS;JOYCE, JAMES;DE CONATUS;2;12,00;11,40;24,00;
'9788419951021;NEXUS;;DEBATE;2;23,90;22,70;47,80;
'9791387600150;DESEO Y DESTINO;DAVID RIEFF;DEBATE;2;20,90;19,85;41,80;
'9788466355445;TIEMPOS RECIOS;MARIO VARGAS LLOSA;DEBOLSILLO;2;12,95;12,30;25,90;
'9788466381246;INVENCIBLE VERANO DE LILIANA, EL;CRISTINA RIVERA GARZA;DEBOLSILLO;2;12,95;12,30;25,90;
'9788466388504;LA DIVA;REYES MONFORTE;DEBOLSILLO;2;9,95;9,45;19,90;
'9788466378222;CONDESA MALDITA, LA (LIMITED);REYES MONFORTE;DEBOLSILLO;2;7,95;7,55;15,90;
'9788418118036;HABITOS ATOMICOS;JAMES CLEAR;DIANA EDITORIAL;2;21,90;20,80;43,80;
'9780241771525;¡YA LLEGA HALLOWEEN!;;DK;3;9,95;9,45;29,85;
'9788419834713;NERON;IGGULDEN, CONN;DUOMO EDICIONES;2;22,90;21,75;45,80;
'9788414065006;MI CAJA MÁGICA DE LA NAVIDAD;CLAUDIA BORDIN;EDELVIVES;2;14,90;14,15;29,80;
'9788437625973;LEGADO FILOSOFICO ESPAÑO;VARIOS;EDICIONES CÁTEDRA;2;47,50;45,12;95,00;
'9788437621890;EL DEPORTE EN OCCIDENTE;SALVADOR, JOSÉ LUIS;EDICIONES CÁTEDRA;2;34,50;32,77;69,00;
'9788437625614;HISTORIA DEL CINE ESPAÑO;"GUBERN, ROMÁN;MONTERDE, JOSÉ ENRIQUE;PÉREZ PERUCHA, JULIO;Y OTROS";EDICIONES CÁTEDRA;2;29,95;28,45;59,90;
'9788437648026;LAS EXHUMACIONES POR DIO;SAQQA CARAZO, MIRIAM;EDICIONES CÁTEDRA;2;28,95;27,50;57,90;
'9788437647265;EL PROCESO AL LIBRO;ALBISSON, MATHILDE;EDICIONES CÁTEDRA;2;25,95;24,65;51,90;
'9788437625188;FEMINISMO EN MUNDO GLOBA;VALCÁRCEL, AMELIA;EDICIONES CÁTEDRA;2;25,50;24,22;51,00;
'9788437634791;EL REINO DE CELAMA;DÍEZ, LUIS MATEO;EDICIONES CÁTEDRA;2;24,95;23,70;49,90;
'9788437648057;LOS RECUERDOS DEL PORVEN;GARRO, ELENA;EDICIONES CÁTEDRA;2;23,95;22,75;47,90;
'9788437649382;MAESTROS ANTIGUOS;BERNHARD, THOMAS;EDICIONES CÁTEDRA;2;23,95;22,75;47,90;
'9788437637457;GEOGRAFÍA HUMANA DE LA R;GÓMEZ BRAVO, GUTMARO;EDICIONES CÁTEDRA;2;22,95;21,80;45,90;
'9788437647456;EXPERIENCIAS HUMANITARIA;COLOMINA, IMMACULADA;EDICIONES CÁTEDRA;2;22,95;21,80;45,90;
'9788437615530;TIEMPO DE FEMINISMO;AMORÓS, CELIA;EDICIONES CÁTEDRA;2;22,50;21,38;45,00;
'9788437628486;ROPA DE CALLE;GARCÍA MONTERO, LUIS;EDICIONES CÁTEDRA;3;14,90;14,15;44,70;
'9788437621708;POLITICA DE MUJERES;VALCÁRCEL, AMELIA;EDICIONES CÁTEDRA;2;21,50;20,43;43,00;
'9788437634548;PERSONA NON GRATA;EDWARDS, JORGE;EDICIONES CÁTEDRA;2;20,95;19,90;41,90;
'9788437640082;UNA COMEDIA LIGERA;MENDOZA, EDUARDO;EDICIONES CÁTEDRA;2;20,95;19,90;41,90;
'9788437627342;FORTUNATA Y JACINTA, I;PÉREZ GALDÓS, BENITO;EDICIONES CÁTEDRA;2;20,50;19,47;41,00;
'9788437627359;FORTUNATA Y JACINTA, II;PÉREZ GALDÓS, BENITO;EDICIONES CÁTEDRA;2;20,50;19,47;41,00;
'9788437646657;EL ÚLTIMO LECTOR;PIGLIA, RICARDO;EDICIONES CÁTEDRA;2;18,95;18,00;37,90;
'9788437631318;EL RACISMO Y LA XENOFOBI;PERCEVAL, JOSÉ MARÍA;EDICIONES CÁTEDRA;2;17,95;17,05;35,90;
'9788437634579;EL HUMOR Y SUS LÍMITES;PERCEVAL, JOSÉ MARÍA;EDICIONES CÁTEDRA;2;17,95;17,05;35,90;
'9788437642451;LOS LIBROS DE LA GUERRA;"BAHAMONDE, ÁNGEL;RUIZ FRANCO, ROSARIO;AROCA MOHEDANO, MANUELA;Y OTROS";EDICIONES CÁTEDRA;2;17,95;17,05;35,90;
'9788437645506;SOROLLA O LA PINTURA COM;REYERO, CARLOS;EDICIONES CÁTEDRA;2;17,95;17,05;35,90;
'9788437620527;DON JULIÁN;GOYTISOLO, JUAN;EDICIONES CÁTEDRA;2;17,50;16,62;35,00;
'9788437621661;MEMORIAS DE UN SOLTERÓN;PARDO BAZÁN, EMILIA;EDICIONES CÁTEDRA;2;16,95;16,10;33,90;
'9788437637242;SOLDADOS DE SALAMINA;CERCAS, JAVIER;EDICIONES CÁTEDRA;2;16,95;16,10;33,90;
'9788437644561;ESCENAS DE CINE MUDO;LLAMAZARES, JULIO;EDICIONES CÁTEDRA;2;16,95;16,10;33,90;
'9788437612829;"REQUIEM; POEMA SIN HEROE";AJMÁTOVA, ANNA;EDICIONES CÁTEDRA;2;15,95;15,15;31,90;
'9788437617763;EL LUGAR SIN LÍMITES;DONOSO, JOSÉ;EDICIONES CÁTEDRA;2;14,90;14,15;29,80;
'9788437623238;EDAD DE ORO Y OTROS RELA;MARTÍ, JOSÉ;EDICIONES CÁTEDRA;2;14,90;14,15;29,80;
'9788437604336;EL ASTILLERO;ONETTI, JUAN CARLOS;EDICIONES CÁTEDRA;2;13,95;13,25;27,90;
'9788437638324;EL CUARTO DE ATRÁS;MARTÍN GAITE, CARMEN;EDICIONES CÁTEDRA;2;12,95;12,30;25,90;
'9788437616698;LOS HERALDOS NEGROS;VALLEJO, CÉSAR;EDICIONES CÁTEDRA;2;12,50;11,88;25,00;
'9788437600727;YERMA;GARCÍA LORCA, FEDERICO;EDICIONES CÁTEDRA;2;11,50;10,92;23,00;
'9788437604114;"SOLEDADES; GALERÍAS; OTR";MACHADO, ANTONIO;EDICIONES CÁTEDRA;2;11,50;10,92;23,00;
'9788437604183;PEDRO PÁRAMO;RULFO, JUAN;EDICIONES CÁTEDRA;2;11,50;10,92;23,00;
'9788437606569;LA TÍA TULA;UNAMUNO, MIGUEL DE;EDICIONES CÁTEDRA;2;11,50;10,92;23,00;
'9788437608532;VIENTO DEL PUEBLO;HERNÁNDEZ, MIGUEL;EDICIONES CÁTEDRA;2;11,50;10,92;23,00;
'9788437624662;VEINTE POEMAS DE AMOR Y;NERUDA, PABLO;EDICIONES CÁTEDRA;2;11,50;10,92;23,00;
'9788437625430;MARIANELA;PÉREZ GALDÓS, BENITO;EDICIONES CÁTEDRA;2;11,50;10,92;23,00;
'9788437634999;EL LLANO EN LLAMAS;RULFO, JUAN;EDICIONES CÁTEDRA;2;10,95;10,40;21,90;
'9788423366484;LAS QUE NO DUERMEN NASH;DOLORES REDONDO;EDICIONES DESTINO;2;23,90;22,70;47,80;
'9788423367177;LAS FUERZAS CONTRARIAS;LORENZO SILVA;EDICIONES DESTINO;2;22,90;21,75;45,80;
'9788423364466;LA MUJER FUGITIVA;ALICIA GIMENEZ BARTLETT;EDICIONES DESTINO;2;19,90;18,90;39,80;
'9788423345892;YO CONFIESO;CABRE,JAUME;EDICIONES DESTINO;2;14,50;13,77;29,00;
'9788418153495;MEMORIA DEL PARAÍSO;VICENTE ECHERRI;EDICIONES ESPUELA DE PLATA;2;19,90;18,90;39,80;
'9788417146979;EL CABALLO DE ÉBANO;VICENTE ECHERRI;EDICIONES ESPUELA DE PLATA;2;17,90;17,00;35,80;
'9798302243720;PAPIER MACHÉ;CARLOS CELDRÁN;EDICIONES FURTIVAS;5;15,00;14,25;75,00;
'9798281350105;MÁS DE CUATRO ACORDES;ROBERTO JULIO CARCASSÉS;EDICIONES FURTIVAS;3;18,00;17,10;54,00;
'9798353721567;EL ÁRBOL ROJO;CARLOS PINTADO;EDICIONES FURTIVAS;3;18,00;17,10;54,00;
'9798733183664;VENDRÁS CONMIGO;EVELIO TRABA;EDICIONES FURTIVAS;3;16,00;15,20;48,00;
'9798352565919;TERNEROS QUE NUNCA MUERAN DE RODILLAS;RAMÓN FERNÁNDEZ-LARREA;EDICIONES FURTIVAS;2;18,00;17,10;36,00;
'9798352567784;LA IMAGEN EN EL ESPEJO;ABILIO ESTÉVEZ;EDICIONES FURTIVAS;2;18,00;17,10;36,00;
'9788087656632;YO SOY LEOPOLDO ÁVILA;CARLOS ESQUIVEL;EDICIONES INCUBADORA;12;12,90;12,25;154,80;
'9788410358096;THOREAU. YOGUI DEL BOSQUE;POGGI, COLETTE;EDICIONES KOAN;2;22,90;21,75;45,80;
'9788410358133;ARTE DE TRANSITAR EL DUELO, EL;CICERON, MARCO TULIO;EDICIONES KOAN;2;12,90;12,25;25,80;
'9788418782787;ENTUSIASMO, EL;REMON, PABLO;EDICIONES LA UÑA ROTA;2;16,00;15,20;32,00;
'9788467590456;LF.10 EL MISTERIO DEL TESORO PIRATA;;EDICIONES SM;4;12,95;12,30;51,80;
'9788467594232;100 PASOS PARA LA CIENCIA;;EDICIONES SM;2;17,95;17,05;35,90;
'9788411206266;LF.22 EL MISTERIO DEL MUNDIAL EN AFRICA;;EDICIONES SM;2;12,95;12,30;25,90;
'9788411820363;LF.24 EL MISTERIO DEL RODAJE MAGICO;;EDICIONES SM;2;12,95;12,30;25,90;
'9788411827539;LF.26 EL MISTERIO DE TIGER BLACK;;EDICIONES SM;2;12,95;12,30;25,90;
'9788413184449;LF.17 EL MISTERIO DE LAS BOTAS MAGICAS;;EDICIONES SM;2;12,95;12,30;25,90;
'9788413188423;LF.18 EL MISTERIO DE LA ISLA DEL VOLCAN;;EDICIONES SM;2;12,95;12,30;25,90;
'9788413921952;LF.20 EL MISTERIO DE LA MASCARA DE ORO;;EDICIONES SM;2;12,95;12,30;25,90;
'9788498564914;LF.23 EL MISTERIO DE LA CASA ENCANTADA;;EDICIONES SM;2;12,95;12,30;25,90;
'9788410552876;ANP.ANTON PI¥ON,SEIS CAPIBARAS Y UNA INV;;EDICIONES SM;2;11,95;11,35;23,90;
'9788411823227;ANP.EN BUSCA DE COLCHON;;EDICIONES SM;2;11,95;11,35;23,90;
'9788467571851;L.A LULU LE GUSTAN LOS COLORES;;EDICIONES SM;2;9,95;9,45;19,90;
'9788467526424;CPSE.EL CLUB DE LOS VALIENTES;;EDICIONES SM;2;9,50;9,03;19,00;
'9788467561494;CPSE.LA PRINCESA VALIENTE;;EDICIONES SM;2;9,50;9,03;19,00;
'9788467579734;BVB. 67 NADIE QUIERE JUGAR CONMIGO;;EDICIONES SM;2;9,50;9,03;19,00;
'9788491073314;4 A¥OS JUEGA Y APRENDE CON TUTU Y SUS AM;;EDICIONES SM;2;8,95;8,50;17,90;
'9788467554670;ASI TE QUIERO,MAMA;;EDICIONES SM;2;5,95;5,65;11,90;
'9788491820772;SUPE.RECORDS DEL MUNDO;;EDICIONES SM;2;5,95;5,65;11,90;
'9788433979636;ARDOR, EL;CALASSO, ROBERTO;EDITORIAL ANAGRAMA;2;29,90;28,40;59,80;
'9788433929426;CONJUROS Y CANTOS;TORRES, SARA;EDITORIAL ANAGRAMA;4;12,90;12,25;51,60;
'9788433922878;DEMOCRACIA EXPANSIVA, LA;SARTORIUS, NICOLÁS;EDITORIAL ANAGRAMA;2;23,90;22,70;47,80;
'9788433927217;ÍNTIMOS, LOS;SANZ, MARTA;EDITORIAL ANAGRAMA;2;23,90;22,70;47,80;
'9788433929709;ME LIMITABA A AMARTE;POSTORINO, ROSELLA;EDITORIAL ANAGRAMA;2;22,90;21,75;45,80;
'9788433924292;NO SOY UN ROBOT;VILLORO, JUAN;EDITORIAL ANAGRAMA;2;21,90;20,80;43,80;
'9788433949035;INDIGNIDAD;YPI, LEA;EDITORIAL ANAGRAMA;2;21,90;20,80;43,80;
'9788433946720;CÓMO DESAPARECER COMPLETAMENTE;ENRIQUEZ, MARIANA;EDITORIAL ANAGRAMA;2;19,90;18,90;39,80;
'9788433948038;TEORÍA DEL JUEGO;PACO, ARIÀ;EDITORIAL ANAGRAMA;2;19,90;18,90;39,80;
'9788433999429;BAJAR ES LO PEOR;ENRIQUEZ, MARIANA;EDITORIAL ANAGRAMA;2;19,90;18,90;39,80;
'9788433922175;REINA DEL BAILE, LA;FABBRI, CAMILA;EDITORIAL ANAGRAMA;2;18,90;17,95;37,80;
'9788433948168;MATATE, AMOR;HARWICZ, ARIANA;EDITORIAL ANAGRAMA;2;18,90;17,95;37,80;
'9788433949158;EN TODO HAY UNA GRIETA Y POR ELLA ENTRA LA LUZ;PATRICIO PRON;EDITORIAL ANAGRAMA;2;18,90;17,95;37,80;
'9788433922151;GUAPOS, LOS;GARCÍA LLOVET, ESTHER;EDITORIAL ANAGRAMA;2;17,90;17,00;35,80;
'9788433922052;SENTIDO DE CONSENTIR, EL;SERRA, CLARA;EDITORIAL ANAGRAMA;2;14,90;14,15;29,80;
'9788433922304;ESTUVE AQUÍ Y ME ACORDÉ DE NOSOTROS;PACHECO, ANNA;EDITORIAL ANAGRAMA;2;14,90;14,15;29,80;
'9788433927255;DIFICULTAD DEL FANTASMA, LA;GUERRIERO, LEILA;EDITORIAL ANAGRAMA;2;14,90;14,15;29,80;
'9788433959966;CAROL - BPH;HIGHSMITH, PATRICIA;EDITORIAL ANAGRAMA;2;14,90;14,15;29,80;
'9788433961037;GUÍA DEL AUTOESTOPISTA GALÁCTICO - BDA;ADAMS, DOUGLAS;EDITORIAL ANAGRAMA;2;14,90;14,15;29,80;
'9788433967817;AUSTERLITZ - CM;SEBALD, W. G.;EDITORIAL ANAGRAMA;2;14,90;14,15;29,80;
'9788433977250;CUENTOS COMPLETOS T. CAPOTE - CM;CAPOTE, TRUMAN;EDITORIAL ANAGRAMA;2;14,90;14,15;29,80;
'9788433922601;FUEGO LA SED;SÁNCHEZ, MARÍA;EDITORIAL ANAGRAMA;2;13,90;13,21;27,80;
'9788433927170;LORO DE FLAUBERT, EL - CM;BARNES, JULIAN;EDITORIAL ANAGRAMA;2;12,90;12,25;25,80;
'9788433961334;AGUA Y JABÓN - CM;D. RIEZU, MARTA;EDITORIAL ANAGRAMA;2;12,90;12,25;25,80;
'9788418690563;LOS SORIAS;ALBERTO LAISECA;EDITORIAL BARRETT;2;41,90;39,80;83,80;
'9788469602539;ASTÉRIX Y CLEOPATRA;GOSCINNY, RENÉ;EDITORIAL BRUÑO;2;12,95;12,30;25,90;
