EAN;Título;Autor;Editorial;Ejemplares;PVP;Precio liquidación;Valor total;Hecho
'9788498954418;PRIMERA PERSONA DEL PLURAL / EL TALÓN VULNERABLE;BLANDIANA, ANA;VISOR;2;14,00;13,30;28,00;
'9788498955149;ÚLTIMOS POEMAS;HUIDOBRO, VICENTE;VISOR;2;14,00;13,30;28,00;
'9788498955750;EL OJO DEL GRILLO;BLANDIANA, ANA;VISOR;2;14,00;13,30;28,00;
'9788498957730;SONETOS COMPLETOS (RUBÉN DARÍO);DARÍO, RUBÉN;VISOR;2;14,00;13,30;28,00;
'9788498958362;ANTOLOGÍA POÉTICA;GARCÍA LORCA, FEDERICO;VISOR;2;14,00;13,30;28,00;
'9788498958720;HOY;GELMAN, JUAN;VISOR;2;14,00;13,30;28,00;
'9788498959239;PASOS INCIERTOS;ALEGRÍA, CLARIBEL;VISOR;2;14,00;13,30;28,00;
'9788475220017;UNA TEMPORADA EN EL INFIERNO;ARTHUR RIMBAUD;VISOR;2;12,00;11,40;24,00;
'9788475220079;POEMAS MANZANAS;JOYCE, JAMES;VISOR;2;12,00;11,40;24,00;
'9788475220444;POEMAS;HÖLDERLING, FRIEDRICH;VISOR;2;12,00;11,40;24,00;
'9788475221076;EL ESTRECHO DUDOSO;CARDENAL, ERNESTO;VISOR;2;12,00;11,40;24,00;
'9788475221250;RUBAIYYAT;JAYYAM, OMAR;VISOR;2;12,00;11,40;24,00;
'9788475221281;BALADA DEL VIEJO MARINERO Y OTROS POEMAS;COLERIDGE, SAMUEL TAYLOR;VISOR;2;12,00;11,40;24,00;
'9788475221649;ANÁBASIS;SAINT-JOHN PERSE;VISOR;2;12,00;11,40;24,00;
'9788475223162;HABITACIONES SEPARADAS;GARCÍA MONTERO, LUIS;VISOR;2;12,00;11,40;24,00;
'9788475223865;APOGEO;BELLI, GIOCONDA;VISOR;2;12,00;11,40;24,00;
'9788498955545;MISERABLE VEJEZ;VILLENA, LUIS ANTONIO DE;VISOR;2;12,00;11,40;24,00;
'9788498957549;PURGATORIO;ZURITA, RAÚL;VISOR;2;12,00;11,40;24,00;
'9788498957921;EXPLICACIONES NO PEDIDAS;BONNETT, PIEDAD;VISOR;2;12,00;11,40;24,00;
'9788498958003;UN BALÓN ENVENENADO;GARCÍA MONTERO, LUIS;VISOR;2;12,00;11,40;24,00;
'9788498958188;ANTIBIÓTICO;FERNÁNDEZ MALLO, AGUSTÍN;VISOR;2;12,00;11,40;24,00;
'9788498958270;POEMAS - JOSÉ HIERRO;HIERRO, JOSÉ;VISOR;2;12,00;11,40;24,00;
'9788498959178;UN INVIERNO PROPIO;GARCÍA MONTERO, LUIS;VISOR;2;12,00;11,40;24,00;
'9788475225111;MI ÍNTIMA MULTITUD;BELLI, GIOCONDA;VISOR;2;10,00;9,50;20,00;
'9788475227191;FUEGO SOY, APARTADO Y ESPADA PUESTA LEJOS;BELLI, GIOCONDA;VISOR;2;10,00;9,50;20,00;
'9788498957884;VISTA CANSADA;GARCÍA MONTERO, LUIS;VISOR;2;10,00;9,50;20,00;
'9788498958454;EN LA AVANZADA JUVENTUD;BELLI, GIOCONDA;VISOR;2;10,00;9,50;20,00;
