EAN;Título;Autor;Editorial;Ejemplares;PVP;Valor total;Hecho
'9788419583291;CANÍBAL SIN DIENTES;MAZARRASA, SANTIAGO;ALTAMAREA EDICIONES;1;18,90;18,90;
'9788418481413;LAS FUTBOLISTAS QUE DESAFIARON A MUSSOLINI;SENEGHINI, FEDERICA;ALTAMAREA EDICIONES;1;18,90;18,90;
'9788419583413;SUSTANCIA DE HÍGADO;RECINOS, MICHELLE;ALTAMAREA EDICIONES;1;17,90;17,90;
'9788412110357;ENJAMBRES;BORGES, EDGAR;ALTAMAREA EDICIONES;1;16,90;16,90;
'9788494957062;MÁGICO GONZÁLEZ;MARSULLO, MARCO;ALTAMAREA EDICIONES;1;16,90;16,90;
'9788418481345;REBELIÓN EN ASTURIAS;CAMUS, ALBERT;ALTAMAREA EDICIONES;1;11,90;11,90;
'9788419583611;TABERNÁCULO DE LAS COSAS MUNDANAS;PASOLINI, PIER PAOLO;ALTAMAREA EDICIONES;1;11,90;11,90;
'9788448856960;PEPPA PIG: VAMOS A JUAGAR SIN PANTALLAS CON PEPPA;"BAKER, MARK; ASTLEY, NEVILLE";ALTEA;1;9,95;9,95;
'9788466784221;FORTUNATA Y JACINTA;PÉREZ GALDÓS, BENITO;ANAYA ELE;1;14,90;14,90;
'9788414343838;CUENTOS CORTOS PARA EMPEZAR A LEER;DONAT, MARC;ANAYA INFANTIL Y JUVENIL;1;17,95;17,95;
'9788469862513;ANIMALOTES 3 Y 4;BLABEY, AARON;ANAYA INFANTIL Y JUVENIL;1;14,90;14,90;
'9788469866405;LOS MISERABLES;HUGO, VÍCTOR;ANAYA INFANTIL Y JUVENIL;1;13,95;13,95;
'9788467871456;LECHUZA DETECTIVE 3;LECHUZA, EQUIPO;ANAYA INFANTIL Y JUVENIL;1;13,95;13,95;
'9788469836019;APESTOSO TÍO MUFFIN;MAÑAS ROMERO, PEDRO;ANAYA INFANTIL Y JUVENIL;1;13,50;13,50;
'9788467861372;LA VOZ DE ÁRBOL;MUÑOZ PUELLES, VICENTE;ANAYA INFANTIL Y JUVENIL;1;13,50;13,50;
'9788414334966;¡Y UN CUERNO!;PÉREZ-SAUQUILLO, VANESA;ANAYA INFANTIL Y JUVENIL;1;13,50;13,50;
'9788414334973;EL DRAGONCITO PÉREZ;PÉREZ-SAUQUILLO, VANESA;ANAYA INFANTIL Y JUVENIL;1;13,50;13,50;
'9788414342282;ESCAPE BOOK 2;SIERRA I FABRA, JORDI;ANAYA INFANTIL Y JUVENIL;1;13,50;13,50;
'9788441546615;LA BIBLIA COCINA VEGANA;CARRIÓN MOÑIZ, GLORIA;ANAYA MULTIMEDIA;1;31,95;31,95;
'9788441546820;RECETAS SALUD. AIRFRYER;FIT HAPPY SISTERS, ANI Y SARA;ANAYA MULTIMEDIA;1;22,95;22,95;
'9788441546622;100 PERSONAS CAMB.HIST.M;GONZÁLEZ ROBLES, GUILLERMO;ANAYA MULTIMEDIA;1;21,95;21,95;
'9788441546813;COCINA CON CARMEN;BUTRÓN, CARMEN;ANAYA MULTIMEDIA;1;20,95;20,95;
'9788441548688;LEYENDAS FÚTBOL/ED.2024;BALLHEIMER, DAVID;ANAYA MULTIMEDIA;1;17,95;17,95;
'9788441543423;ARRIBA! EL RETO ERES TÚ;CARMONA, SARA;ANAYA MULTIMEDIA;1;17,95;17,95;
'9788441543027;ESC.FUTBOL.TECNICAS SUPE;COLSON, ROB;ANAYA MULTIMEDIA;1;14,90;14,90;
'9788491589983;LOS PUEBLOS SUMERGIDOS;ACEDO, PACO;ANAYA TOURING;1;24,95;24,95;
'9788419913135;VOLVER A EMPEZAR;JEFFERS,OLIVER;ANDANA EDITORIAL;1;24,90;24,90;
'9788416394999;ESTAMOS AQUI;JEFFERS, OLIVER;ANDANA EDITORIAL;1;16,50;16,50;
'9788416421510;INDICADORES DE VIOLENCIA DE GENERO EN EL PERU;"DEL PINO ; TORRES";ANTHROPOS;1;10,00;10,00;
'9781789543957;¡POPULISTA!;WILL GRANT;APOLLO;1;10,00;10,00;
'9788419558046;LEYENDAS;ZWEIG, STEFAN;ARPA EDITORES;1;19,90;19,90;
'9788419558473;;KAFKA, FRANZ;ARPA EDITORES;1;17,90;17,90;
'9788419558510;TRES RELATOS DE MUJERES;ZWEIG, STEFAN;ARPA EDITORES;1;17,90;17,90;
'9788419670229;;"ROCA ; TERRASA";ASTIBERRI EDICIONES;1;25,00;25,00;
'9788417575199;;ROCA,PACO;ASTIBERRI EDICIONES;1;25,00;25,00;
'9788419670540;NOCTURNOS;PEREZ, LAURA;ASTIBERRI EDICIONES;1;21,00;21,00;
'9788419670939;MAGDA. COCINERA INTEGALACTICA 1. EL GRAN TORNEO;"VAN GHELUWE, MATHILDE;";ASTIBERRI EDICIONES;1;20,00;20,00;
'9788410332027;GRAN EPOCA, LA;ALCAZAR, PACO;ASTIBERRI EDICIONES;1;18,00;18,00;
'9788496815391;;ROCA,PACO;ASTIBERRI EDICIONES;1;15,00;15,00;
'9788419670946;GRUÑON, EL;MARK, JOSEPHINE;ASTIBERRI EDICIONES;1;12,00;12,00;
'9788419670458;COSMO EN EL ESPACIO 2ªED;DE CASTRO,JAVI;ASTIBERRI EDICIONES;1;11,00;11,00;
'9788419703637;GRAN SEMANA, LA;HOLLAND, JAMES;ATICO DE LOS LIBROS;1;32,95;32,95;
'9788418217814;GRIEGOS, LOS;BEATON, RODERICK;ATICO DE LOS LIBROS;1;29,95;29,95;
'9788419703620;LUZ DE LA EDAD MEDIA, LA;FALK, SEB;ATICO DE LOS LIBROS;1;26,95;26,95;
'9788419703545;CHICA SALVAJE,LA;OWENS, DELIA;ATICO DE LOS LIBROS;1;9,95;9,95;
'9788466665735;LA COCINA DE LOS VALIENTES;PAU ARENÓS;B;1;24,90;24,90;
'9788466675680;TODO VUELVE (TODO ARDE 2);JUAN GÓMEZ-JURADO;B;1;23,90;23,90;
'9788466679114;EL MAPA DE UN MUNDO NUEVO;ZUECO, LUIS;B;1;23,90;23,90;
'9788466668552;EL PACIENTE;GÓMEZ-JURADO, JUAN;B;1;22,90;22,90;
'9788466666497;LOBA NEGRA;GÓMEZ-JURADO, JUAN;B;1;22,90;22,90;
'9788466678667;LA DAMA DE LA CARTUJA / THE LADY OF LA CARTUJA;INMA AGUILERA;B;1;22,90;22,90;
'9788466677318;EL HIJO OLVIDADO;SANTIAGO, MIKEL;B;1;22,90;22,90;
'9788466669689;EN PLENA NOCHE;SANTIAGO, MIKEL;B;1;22,90;22,90;
'9788466677929;TODO LO QUE HAY DETRÁS QUE NO SE VE: UN ENSAYO SOBRE LO QUE OCULTAN LAS REDES SO CIALES Y LOS INFLUENCERS / EVERYTHING THAT'S BEHIND THAT YOU CAN'T SEE;@SALSEOLOGIA;B;1;21,90;21,90;
'9788466679381;GAME PLAN: EL MÉTODO PARA VIVIR, TRABAJAR Y COMPETIR AL MÁXIMO NIVEL DURANTE EL MAYOR TIEMPO POSIBLE / GAME PLAN;MIKE. MANCIAS;B;1;21,90;21,90;
'9788466679824;EL PUENTE;OSUNA, ÁNGEL;B;1;21,90;21,90;
'9788466678728;MALAS LENGUAS;FERNANDO BONETE;B;1;20,90;20,90;
'9788466667937;REINA ROJA;LUIS;B;1;17,90;17,90;
'9788466661782;WAGAMAMA. COCINAR CON NOODLES;HUGO ARNOLD;B;1;14,90;14,90;
'9791387652814;DAMA DE LA CARTUJA, LA;INMA AGUILERA;B;1;12,95;12,95;
'9788419910431;GRAN FIESTA DEL INVIERNO, LA (CUENTOS WALDORF CON;TAMARA CHUBAROVSKY;B DE BLOK;1;16,95;16,95;
'9788419048172;AMANDA BLACK - ESCAPE BOOK: EL SECRETO DE LA MANSI;"BÁRBARA ;MONTES";B DE BLOK;1;13,95;13,95;
'9788413146591;JURAMENTADA (EL ARCHIVO DE LAS TORMENTAS 3) (EDIC;BRANDON SANDERSON;B DE BOLSILLO;1;16,95;16,95;
'9788413149011;REINA ROJA (EDICIÓN ESPECIAL SERIE PRIME) (ANTONIA;JUAN GÓMEZ-JURADO;B DE BOLSILLO;1;14,96;14,96;
'9788413149332;SOBRE HORMIGAS Y DINOSAURIOS;LIU, CIXIN;B DE BOLSILLO;1;14,96;14,96;
'9788413148021;ERCILLA Y LAS CONTRADICCIONES DEL IMPERIO / ERCILLA AND THE CONTRADICTIONS OF THE EMPIRE;PATRICIA. CERDA;B DE BOLSILLO;1;14,96;14,96;
'9788413147154;ROMA SOY YO;SANTIAGO POSTEGUILLO;B DE BOLSILLO;1;14,96;14,96;
'9788490706008;ROMA SOY YO (CAMPAÑA NAVIDAD GRANDES ÉXITOS EDICIÓ;SANTIAGO POSTEGUILLO;B DE BOLSILLO;1;14,96;14,96;
'9788410381797;VETERINARIA, LA . VIENTOS DE ESPERANZA (LA VETERI;SARAH LARK;B DE BOLSILLO;1;14,96;14,96;
'9788410381902;VETERINARIA, LA . TIEMPO DE CORAJE (LA VETERINARIA;SARAH LARK;B DE BOLSILLO;1;14,96;14,96;
'9788413142357;LA LEYENDA DEL LADRÓN;GÓMEZ-JURADO, JUAN;B DE BOLSILLO;1;12,95;12,95;
'9788413143583;AFRICANUS I;POSTEGUILLO, SANTIAGO;B DE BOLSILLO;1;12,95;12,95;
'9788413143590;LAS LEGIONES MALDITAS II;POSTEGUILLO, SANTIAGO;B DE BOLSILLO;1;12,95;12,95;
'9788413143606;LA TRAICIÓN DE ROMA;POSTEGUILLO, SANTIAGO;B DE BOLSILLO;1;12,95;12,95;
'9788413147482;EL CEMENTERIO DEL MAR;;B DE BOLSILLO;1;12,95;12,95;
'9788413142630;ESPÍA DE DIOS;GÓMEZ-JURADO, JUAN;B DE BOLSILLO;1;11,95;11,95;
'9788413143231;CICATRIZ;JUAN GÓMEZ-JURADO;B DE BOLSILLO;1;10,95;10,95;
'9788413144603;TODAS LAS HADAS DEL REINO (EDICIÓN LIMITADA);LAURA GALLEGO;B DE BOLSILLO;1;10,95;10,95;
'9788417178062;ATLANTICO;VILLOSLADA,TAMARA;BANG EDICIONES;1;11,00;11,00;
'9780593054536;A YEAR IN THE MERDE;STEPHEN CLARKE;BANTAM PRESS;1;5,00;5,00;
'9788412492347;;;BARBARIE EDITORA;1;16,00;16,00;
'9788412594003;DOLOR QUE AMAMOS,EL;CRESPO MASSIEU,ANTONIO;BARTLEBY EDITORES,S.L;1;14,00;14,00;
'9788495408839;;RIVERO,GIOVANNA;BARTLEBY EDITORES,S.L;1;14,00;14,00;
'9788448865641;MAMÁ;ISERN, SUSANNA;BEASCOA;1;19,95;19,95;
'9788448867751;LOS CONECTAMIGOS Y EL FESTIVAL DE NEURÓPOLIS;"TATIANA LUIS;DAFNE SANTANA";BEASCOA;1;16,95;16,95;
'9788448864255;LA CASA DE LOS NÚMEROS;ANA PUNSET;BEASCOA;1;15,95;15,95;
'9788448856519;LA SEÑORA BADOBEDAH / MADAME BADOBEDAH;"SOPHIE DAHL;LAUREN O'HARA";BEASCOA;1;15,95;15,95;
'9788448856342;UNA AVENTURA EN EL CAMPING;SÍLVIA ABRIL;BEASCOA;1;14,96;14,96;
'9788448857295;¡QUE GANE EL MEJOR! (UNA CASA DE LOCOS. CÓMIC 7);"ANGELA ENTZMINGER;ANDREW";BEASCOA;1;13,95;13,95;
'9788448867409;POCOYÓ. RECOPILATORIO DE CUENTOS - CUENTOS PARA 2 AÑOS (5 CUENTOS);;BEASCOA;1;12,95;12,95;
'9788448867263;OH, OH, LEO ¡AL BAÑO!;CHATTERTON, CHRIS;BEASCOA;1;10,95;10,95;
'9788448863722;Y EL JADE ENCANTADO;"JUAN CARLOS BONACHE;INÉS";BEASCOA;1;9,95;9,95;
'9788448863784;ESTO LO LEO YO. ¡QUÉ DIVERTIDO ES JUGAR!;MORENO DÍAZ, PILAR;BEASCOA;1;9,95;9,95;
'9788448865184;DRAGON DE LAS LETRAS 3, EL. UN DUENDE;210;BEASCOA;1;7,95;7,95;
'9788448863753;EL DRAGÓN DE LAS LETRAS 2: EL LEÓN DESMELENADO NO SE COME NI UN BOCADO;ORO, BEGOÑA;BEASCOA;1;7,95;7,95;
'9788448868987;APRENDE A LEER EN LETRA MAYÚSCULA: UN OSO TRABAJADOR Y EL PROBLEMA DEL ORDENADOR;ORO, BEGOÑA;BEASCOA;1;7,95;7,95;
'9788448863647;UN CUENTO PARA CADA LETRA: P, L, M, S, T, D, N, F, R/RR, H (LEO CON POCOYÓ 2);;BEASCOA;1;7,95;7,95;
'9788448863630;UN CUENTO PARA CADA VOCAL: A, E, I, O, U (LEO CON POCOYÓ 1);;BEASCOA;1;7,95;7,95;
'9781849540018;TRUST;ANTHONY SELDON;BITEBACK;1;5,00;5,00;
'9788418733383;EL LIBRO DEL GÉNESIS;VARIOS AUTORES,;BLACKIE BOOKS;1;29,90;29,90;
'9788410323810;HIJA DE LA VENGANZA;MCDOWELL, MICHAEL;BLACKIE BOOKS;1;24,90;24,90;
'9788417552909;PERRO APESTOSO SE ENAMORA;GUTMAN, COLAS;BLACKIE BOOKS;1;13,90;13,90;
'9788419654465;PERRO APESTOSO Y LA MÁQUINA DEL TIEMPO;GUTMAN, COLAS;BLACKIE BOOKS;1;13,90;13,90;
'9788418733093;EL SETO DE LAS ZARZAS. ¡MONTAÑA ARRIBA!;BARKLEM, JILL;BLACKIE BOOKS;1;12,90;12,90;
'9788418733406;EL SETO DE LAS ZARZAS. LA ESCALERA SECRETA;BARKLEM, JILL;BLACKIE BOOKS;1;12,90;12,90;
'9788418284359;LOCO HIGUITA Y EL ESCORPION, EL (NUEVA EDICION);PALOMO COUSIDO, JAIME;BOOKOLIA;1;12,50;12,50;
'9788402424501;MORTADELO Y FILEMÓN. MISIÓN POR ESPAÑA;F. IBÁÑEZ;BRUGUERA;1;15,95;15,95;
'9788402430816;MORTADELO Y FILEMÓN. SU VIDA PRIVADA;F. IBÁÑEZ;BRUGUERA;1;15,95;15,95;
'9788402430809;MORTADELO Y FILEMÓN. LOS INVASORES;F. IBÁÑEZ;BRUGUERA;1;15,95;15,95;
'9788417417581;LECHE CONDENSADA;AIDA GONZÁLEZ ROSSI;CABALLO DE TROYA;1;15,90;15,90;
'9788417417697;JARROA;"ANDREA FERNÁNDEZ PLATA;";CABALLO DE TROYA;1;15,90;15,90;
'9788417417444;BORRACHA MENOR;BALBUENA, SOFÍA;CABALLO DE TROYA;1;15,90;15,90;
'9788417417666;LOS BLOQUES NARANJAS;DÍAZ, LUIS;CABALLO DE TROYA;1;15,90;15,90;
'9788417417567;YA NADIE CANTA;ESPINAL SOLANO, MANUELA;CABALLO DE TROYA;1;15,90;15,90;
'9788417417628;SE TE OSCURECE EL PELO;MARÍA JOSÉ HASTA;CABALLO DE TROYA;1;15,90;15,90;
'9788417417741;GALÁPAGOS;VÉLEZ, FÁTIMA;CABALLO DE TROYA;1;15,90;15,90;
'9788417417772;EL VAMPIRO DE LA COLONIA ROMA;ZAPATA, LUIS;CABALLO DE TROYA;1;15,90;15,90;
'9788412814019;;;CALLA CANALLA;1;18,90;18,90;
'9780521734172;RADICAL DEMOCRACY;DONNA LEE VAN COTT;CAMBRIDGE UNIVERSITY PRESS;1;5,00;5,00;
'9788493890384;BOLAÑO SALVAJE 2ªED;PAZ SOLDAN,EDMUNDO;CANDAYA,S.L;1;25,00;25,00;
'9788415934226;ESPECTACULO DEL TIEMPO,EL;BECERRA,JUAN JOSE;CANDAYA,S.L;1;20,00;20,00;
'9788418504501;PESO DE VIVIR EN LA TIERRA, EL 2ªED;TOSCANA, DAVID;CANDAYA,S.L;1;20,00;20,00;
'9788418504587;NUEVAS EMERGENCIAS;"ARENAS SEPULVEDA ; BROWN";CANDAYA,S.L;1;18,00;18,00;
'9788418504396;ORDEN DEL ALEPH,EL;FAVERON PATRIAU,GUSTAVO;CANDAYA,S.L;1;18,00;18,00;
'9788418504358;TIEMPO DE LA IMPROVISACION,EL;GIORDANO,ALBERTO;CANDAYA,S.L;1;18,00;18,00;
'9788418504297;GRANTA MEJORES NARRADORES JOVENES EN ESPAÑOL,LOS 2;MILES,VALERIE;CANDAYA,S.L;1;18,00;18,00;
'9788418504709;UNA FABULA SENCILLA;NESPOLO, MATIAS;CANDAYA,S.L;1;18,00;18,00;
'9788418504426;QUE FUE EL FUTURO, LO;ALCIVAR BELLOLIO,DANIELA;CANDAYA,S.L;1;17,00;17,00;
'9788418504693;EN OTRO PAIS;"AMARO,LORENA;BADILLO,CARLA;C";CANDAYA,S.L;1;17,00;17,00;
'9788418504464;Y ERAN UNA SOLA SOMBRA;ARENAS SEPULVEDA, ISABEL-;CANDAYA,S.L;1;17,00;17,00;
'9788418504389;NO ERA A ESTO A LO QUE VENIAMOS 4ªED;BASTAROS, MARIA;CANDAYA,S.L;1;17,00;17,00;
'9788415934554;ARTISTA MAS GRANDE DEL MUNDO,EL;BECERRA,JUAN JOSE;CANDAYA,S.L;1;17,00;17,00;
'9788418504365;NOMBRES IMPARES,LOS;CHICO,ALEX;CANDAYA,S.L;1;17,00;17,00;
'9788418504716;QUE TENGA UNA CASA;DEL CAMPO, FLORENCIA;CANDAYA,S.L;1;17,00;17,00;
'9788418504419;MUERTE FELIZ DE WILLIAM CARLOS WILLIAMS,LA;APONTE ALSINA,MARTA;CANDAYA,S.L;1;16,00;16,00;
'9788493707767;BARONI UN VIAJE;CHEJFEC,SERGIO;CANDAYA,S.L;1;16,00;16,00;
'9788415934134;ANTICUARIO,EL;FAVERON PATRIAU,GUSTAVO;CANDAYA,S.L;1;16,00;16,00;
'9788418504433;SULFURO;GARCIA LAO, FERNANDA;CANDAYA,S.L;1;16,00;16,00;
'9788418504648;TEORIA DEL TACTO 2ªED;GARCIA LAO, FERNANDA;CANDAYA,S.L;1;16,00;16,00;
'9788415934233;NEFANDO 6ªED;OJEDA FRANCO,MONICA;CANDAYA,S.L;1;16,00;16,00;
'9788418504242;;RIVERO,GIOVANNA;CANDAYA,S.L;1;16,00;16,00;
'9788415934639;CUANTOS DE LOS TUYOS HAN MUERTO 2ªED;RUIZ SOSA,EDUARDO;CANDAYA,S.L;1;16,00;16,00;
'9788415934189;FAMILIAS DE CEREAL 2ªED;SANCHEZ BELLOCCHIO,TOMAS;CANDAYA,S.L;1;16,00;16,00;
'9788415934714;SIBERIA UN AÑO DESPUES;ALCIVAR BELLOLIO,DANIELA;CANDAYA,S.L;1;15,00;15,00;
'9788493890360;EXPERIENCIA DRAMATICA,LA;CHEJFEC,SERGIO;CANDAYA,S.L;1;15,00;15,00;
'9788418504327;ITACA ES NUNCA;FALCON MALDONADO,CRISTINA;CANDAYA,S.L;1;15,00;15,00;
'9788415934721;NACION VACUNA;GARCIA LAO,FERNANDA;CANDAYA,S.L;1;15,00;15,00;
'9788493890322;INTERPRETACION DE UN LIBRO,LA;BECERRA,JUAN JOSE;CANDAYA,S.L;1;14,00;14,00;
'9788415934035;HABLAR CON DESCONOCIDOS;SKLIAR,CARLOS;CANDAYA,S.L;1;14,00;14,00;
'9788415934165;TAMBOR DE ARRANQUE;BITAR,FRANCISCO;CANDAYA,S.L;1;13,00;13,00;
'9788418504280;DESERTAR;"GOMEZ ; HARWICZ";CANDAYA,S.L;1;13,00;13,00;
'9788415934301;PAJARO DE NUNCA VOLVER;CAMPA¥A,MARIO;CANDAYA,S.L;1;11,00;11,00;
'9788415934394;DUERMEVELA;VITALE,CARLOS;CANDAYA,S.L;1;10,00;10,00;
'9788412779936;BIBLIOTECAS;"DER WEDUWEN, ARTHUR;";CAPITÁN SWING LIBROS;1;29,00;29,00;
'9788412779950;HOMBRES FOSILES;PATTISON, KERMIT;CAPITÁN SWING LIBROS;1;28,00;28,00;
'9788412779837;DECIDIDO 2ªED;SAPOLSKY, ROBERT;CAPITÁN SWING LIBROS;1;28,00;28,00;
'9788412878707;AFRICA NO ES UN PAIS;FALOYIN, DIPO;CAPITÁN SWING LIBROS;1;27,00;27,00;
'9788412779875;INTELIGENCIA ARTIFICIAL;MITCHELL, MELANIE;CAPITÁN SWING LIBROS;1;26,00;26,00;
'9788412779844;UTOPIAS COTIDIANAS;GHODSEE, KRISTEN;CAPITÁN SWING LIBROS;1;25,00;25,00;
'9788412619904;PALESTINA 5ªED;KHALIDI, RASHID;CAPITÁN SWING LIBROS;1;25,00;25,00;
'9788412708516;UN MANICOMIO EN EL FIN DEL MUNDO 2ªED;SANCTON, JULIAN;CAPITÁN SWING LIBROS;1;25,00;25,00;
'9788412878745;JARDIN CONTRA EL TIEMPO, EL;LAING, OLIVIA;CAPITÁN SWING LIBROS;1;24,00;24,00;
'9788412779868;LABORATORIO PALESTINO, EL;LOEWENSTEIN, ANTONY;CAPITÁN SWING LIBROS;1;23,00;23,00;
'9788412064520;POR QUE DORMIMOS 7ªED;WALKER,MATTHEW;CAPITÁN SWING LIBROS;1;22,00;22,00;
'9788494504327;BORDERLANDS - LA FRONTERA 7ªED;ANZALDUA,GLORIA;CAPITÁN SWING LIBROS;1;20,00;20,00;
'9788412878608;SOBRE CUBA;"CHOMSKY, NOAM;PRASHAD, VIJAY";CAPITÁN SWING LIBROS;1;18,50;18,50;
'9788412878783;MALISMO;ENTRIALGO, MAURO;CAPITÁN SWING LIBROS;1;18,50;18,50;
'9788412878714;;"ROGERO, JESUS;TURIENZO,";CAPITÁN SWING LIBROS;1;18,50;18,50;
'9788412553970;MALESTAMOS 5ªED;"CARMONA, MARTA;PADILLA,";CAPITÁN SWING LIBROS;1;16,00;16,00;
'9788416868032;QUE VIVA MEXICO;EISENSTEIN,SERGUEI;CASIMIRO;1;8,00;8,00;
'9788412498219;INSOMNIO;BENJAMIN, MARINA;CHAI;1;14,90;14,90;
'9788419702265;DIME QUE ME QUIERES;SCORE, LUCY;CHIC;1;18,95;18,95;
'9788419043061;CIUDAD DE MEXICO;DIAZ-FUENTES, EDSON;CINCO TINTAS;1;35,00;35,00;
'9788419043436;PAELLA;ALLIBHOY,OMAR;CINCO TINTAS;1;24,95;24,95;
'9788419043443;EL LIBRO DE LAS RESPUESTAS. CONFIA EN TU ORACULO M;ELLIOT,GAIA;CINCO TINTAS;1;17,95;17,95;
'9788416407972;ORACULO MAGICO 8ªED;HAKSEVER, SEMRA;CINCO TINTAS;1;17,95;17,95;
'9789877223279;LULA;IVANA JINKINGS;CLACSO;1;5,00;5,00;
'9788412225297;UNA VIDA CRITICA;GAINZA,MARIA;CLAVE INTELECTUAL;1;19,90;19,90;
'9788409688258;PALABRA EN ARCHIPIELAGO,LA;"ASIN,MANUEL;VAN DE STAAK,";COMISURA;1;22,00;22,00;
'9788409453207;TODO LO QUE SE MUEVE 3ªED;MATA, VALERIA;COMISURA;1;18,00;18,00;
'9788410176003;LA ESTAMPACIÓN;;COMUNICACIÓN SOCIAL;1;45,00;45,00;
'9788445141328;JACOBO CASTELLANO;;COMUNIDAD DE MADRID;1;35,00;35,00;
'9788493834579;CONFLUENCIAS;LEZAMA LIMA,JOSE;CONFLUENCIAS;1;15,00;15,00;
'9788419490148;IDENTITTI;SANYAL, MITHU;CONSONNI;1;23,50;23,50;
'9788419490254;PARA SENTHURAN;EMEZI, AKWAEKE;CONSONNI;1;21,50;21,50;
'9788419490261;REDES SON NUESTRAS,LAS;FRANCO, MARTA G.;CONSONNI;1;21,50;21,50;
'9788419490308;MUJER DE DIOS, LA;MIJALOPULU, AMANDA;CONSONNI;1;20,00;20,00;
'9788419490216;TODAS LAS VIDAS;DIAZ BRINGAS, TAMARA;CONSONNI;1;19,90;19,90;
'9788416205714;;RIVERA GARZA,CRISTINA;CONSONNI;1;19,90;19,90;
'9788419490162;MIL MILLAS HACIA LA LIBERTAD;CRAFT,WILLIAN;CONSONNI;1;17,00;17,00;
'9788416205943;TEFRA;TROYA, VIVIANA;CONSONNI;1;16,50;16,50;
'9788416205691;MUDANZA;GERBER BICECCI,VERONICA;CONSONNI;1;15,00;15,00;
'9788419822925;CUANDO TE ATREVAS;MOLINA, TAMARA;CONTRALUZ EDITORIAL;1;23,95;23,95;
'9788418945328;AMIGOS, AMANTES AQUELLO;PERRY, MATTHEW;CONTRALUZ EDITORIAL;1;23,95;23,95;
'9788418945144;NO PIENSES ELEFANTE ROSA;YÁÑEZ, ANTÍA;CONTRALUZ EDITORIAL;1;22,50;22,50;
'9788419822024;EL ÚLTIMO GIRO;BOUTELLIER, PAOLA;CONTRALUZ EDITORIAL;1;19,95;19,95;
'9788418945625;UNA AVENTURA SALVAJE;LAUREN, CHRISTINA;CONTRALUZ EDITORIAL;1;19,50;19,50;
'9788418945809;COMPAÑERO PISO VAMPIRO;LEVINE, JENNA;CONTRALUZ EDITORIAL;1;19,50;19,50;
'9788418945731;NOMBRE TONTOS 13/20;CARBONELL, PABLO;CONTRALUZ EDITORIAL;1;11,95;11,95;
'9788418997006;WELCOME TO MI;HERRERA BAULLOSA,EDUARDO;CUADERNOS DEL LABERINTO;1;14,00;14,00;
'9788417375966;SEPTOLOGÍA. OBRA COMPLETA;FOSSE, JON;DE CONATUS;1;36,00;36,00;
'9788410182127;JAMES;EVERETT, PERCIVAL;DE CONATUS;1;23,90;23,90;
'9788417375140;TRILOGÍA;FOSSE, JON;DE CONATUS;1;18,90;18,90;
'9788417375546;LIMBO;FOX, DAN;DE CONATUS;1;17,90;17,90;
'9788417375645;BORGES EN ESTOCOLMO;DALTON, SONIA;DE CONATUS;1;15,90;15,90;
'9788483068618;PENSAR RÁPIDO, PENSAR DESPACIO;DANIEL KAHNEMAN;DEBATE;1;24,90;24,90;
'9788419951656;SUPREMACÍA CUÁNTICA: LA REVOLUCIÓN TECNOLÓGICA QUE LO CAMBIARÁ TODO / QUANTUM SU PREMACY: HOW THE QUANTUM CO MPUTER REVOLUTION WILL CHANGE EVERYTHING;MICHIO. KAKU;DEBATE;1;23,90;23,90;
'9788410433335;LOS MUCHACHOS DE ZINC;ALEXIEVICH, SVETLANA;DEBATE;1;22,90;22,90;
'9788419951458;EL INFINITO EN UN JUNCO;VALLEJO, IRENE;DEBATE;1;22,90;22,90;
'9788419951762;FELICIDAD EN ACCIÓN;;DEBATE;1;22,90;22,90;
'9788417636418;AQUÍ VIVEN LEONES;"FERNANDO SAVATER;SARA";DEBATE;1;21,90;21,90;
'9788419951632;POLÍTICA DEL MALESTAR;;DEBATE;1;19,90;19,90;
'9788419951960;VENEZUELA;JOSÉ NATANSON;DEBATE;1;17,90;17,90;
'9788466360296;DIARIO DE LA GUERRA DEL CERDO / DIARY OF THE WAR OF THE PIG;ADOLFO BIOY CASARES;DEBOLSILLO;1;14,96;14,96;
'9788466337120;2666;BOLAÑO, ROBERTO;DEBOLSILLO;1;14,96;14,96;
'9788466338691;PROVINCIA IMAGINARIA, LA (DEBOLSILLO);DIEZ, LUIS MATEO;DEBOLSILLO;1;14,96;14,96;
'9788466338707;CAMINOS DE LA QUIMERA, LOS (DEBOLSILLO);DIEZ, LUIS MATEO;DEBOLSILLO;1;14,96;14,96;
'9788499890456;UNA VIDA ABSOLUTAMENTE MARAVILLOSA;ENRIQUE VILA-MATAS;DEBOLSILLO;1;14,96;14,96;
'9788499899800;LA CAÍDA DE LOS GIGANTES;FOLLET, KEN;DEBOLSILLO;1;14,96;14,96;
'9788466351058;UNA COLUMNA DE FUEGO (SAGA LOS PILARES DE LA TIERR;"FOLLETT, KEN;KEN FOLLETT";DEBOLSILLO;1;14,96;14,96;
'9788466334600;CUENTOS COMPLETOS. JUAN CARLOS ONETTI / COMPLETE WORKS. JUAN CARLOS ONETTI;JUAN CARLOS ONETTI;DEBOLSILLO;1;14,96;14,96;
'9788466378741;ARMADURA DE LA LUZ, LA (CAMPAÑA NAVIDAD GRANDES É;KEN FOLLETT;DEBOLSILLO;1;14,96;14,96;
'9788466330985;EL REINO DE CELAMA;LUIS MATEO DÍEZ;DEBOLSILLO;1;14,96;14,96;
