EAN;Título;Autor;Editorial;Ejemplares;PVP;Valor total;Hecho
'9788410496293;EL SEÑOR FOX;JOYCE CAROL OATES;ALFAGUARA;1;26,90;26,90;
'9788420460406;EL PAÍS DE LAS MIL CARAS. ESCRITOS SOBRE EL PERÚ;VARGAS LLOSA, MARIO;ALFAGUARA;1;26,90;26,90;
'9788420462479;EL ASEDIO;ARTURO PÉREZ-REVERTE;ALFAGUARA;1;24,90;24,90;
'9788420472102;BIOGRAFÍA DE X;CATHERINE LACEY;ALFAGUARA;1;22,90;22,90;
'9788420456546;FUNCIONAMIENTO GENERAL DEL MUNDO, EL;EDUARDO SACHERI;ALFAGUARA;1;22,90;22,90;
'9788420431468;CUENTOS COMPLETOS;GARRO, ELENA;ALFAGUARA;1;22,90;22,90;
'9788420454597;TOMÁS NEVINSON;JAVIER MARIAS;ALFAGUARA;1;22,90;22,90;
'9788420477954;CARNICERO;JOYCE CAROL OATES;ALFAGUARA;1;22,90;22,90;
'9788420417806;LA SOLEDAD DE LOS PERDIDOS;LUIS MATEO DÍEZ;ALFAGUARA;1;22,90;22,90;
'9788420426754;VICISITUDES;LUIS MATEO DÍEZ;ALFAGUARA;1;22,90;22,90;
'9788420433363;;ROSA MONTERO;ALFAGUARA;1;22,90;22,90;
'9788420460208;LA TÍA JULIA Y EL ESCRIBIDOR;VARGAS LLOSA, MARIO;ALFAGUARA;1;22,90;22,90;
'9788420435503;PACIENTE SILENCIOSA, LA;ALEX MICHAELIDES;ALFAGUARA;1;21,90;21,90;
'9788420462462;UN DÍA DE CÓLERA;ARTURO PÉREZ-REVERTE;ALFAGUARA;1;21,90;21,90;
'9788420462103;LA ESPAÑA VACÍA;DEL MOLINO, SERGIO;ALFAGUARA;1;21,90;21,90;
'9788420456560;NOSOTROS DOS EN LA TORMENTA;EDUARDO SACHERI;ALFAGUARA;1;21,90;21,90;
'9788420419688;FALCÓ;PÉREZ-REVERTE, ARTURO;ALFAGUARA;1;21,90;21,90;
'9788420477893;ESCRIBIR UN SILENCIO;PIÑEIRO, CLAUDIA;ALFAGUARA;1;21,90;21,90;
'9788420477671;;ROSA MONTERO;ALFAGUARA;1;21,90;21,90;
'9788420419589;LA NOCHE DE LA USINA;EDUARDO ALFREDO SACHERI;ALFAGUARA;1;20,90;20,90;
'9788420405223;EL SECRETO DE SUS OJOS;EDUARDO SACHERI;ALFAGUARA;1;20,90;20,90;
'9788420431994;LA LLAMADA DE LA TRIBU;MARIO VARGAS LLOSA;ALFAGUARA;1;20,90;20,90;
'9788420479101;PRESENTES;PACO CERDA;ALFAGUARA;1;20,90;20,90;
'9788420433424;CADÁVER EXQUISITO;BAZTERRICA, AGUSTINA;ALFAGUARA;1;19,90;19,90;
'9788420478173;LA VIDA FELIZ;FOENKINOS, DAVID;ALFAGUARA;1;19,90;19,90;
'9788410496231;ARDERÁ EL VIENTO (PREMIO ALFAGUARA DE NOVELA 2025);GUILLERMO SACCOMANNO;ALFAGUARA;1;19,90;19,90;
'9791387846039;ASÍ QUE PASEN TREINTA AÑOS;JAVIER MARÍAS;ALFAGUARA;1;19,90;19,90;
'9788420432403;DETRÁS DEL CIELO;MANUEL RIVAS;ALFAGUARA;1;19,90;19,90;
'9788420437569;LA NOVIA DE MATISSE;MANUEL VICENT;ALFAGUARA;1;19,90;19,90;
'9788420405087;LAS MIL NOCHES Y UNA NOCHE;"MARIO VARGAS LLOSA;ROS RIBAS";ALFAGUARA;1;19,90;19,90;
'9788420471228;LA CONCIENCIA CONTADA POR UN SAPIENS A UN NEANDERTAL;"MILLÁS, JUÁN JOSÉ; ARSUAGA,";ALFAGUARA;1;19,90;19,90;
'9788420460536;TONGOLELE NO SABÍA BAILAR;RAMÍREZ, SERGIO;ALFAGUARA;1;19,90;19,90;
'9788420476063;;ROSA MONTERO;ALFAGUARA;1;19,90;19,90;
'9788420460567;RETRATO DE UNA MUJER MODERNA;VICENT, MANUEL;ALFAGUARA;1;19,90;19,90;
'9788420414980;LO QUE NO TIENE NOMBRE;BONNETT, PIEDAD;ALFAGUARA;1;18,90;18,90;
'9788420461342;QUÉ HACER CON ESTOS PEDAZOS;BONNETT, PIEDAD;ALFAGUARA;1;18,90;18,90;
'9788420481531;DIANA, O, LA CAZADORA SOLITARIA;CARLOS FUENTES;ALFAGUARA;1;18,90;18,90;
'9788420414539;UN COMUNISTA EN CALZONCILLOS;CLAUDIA PIÑEIRO;ALFAGUARA;1;18,90;18,90;
'9788420476421;LA HORA VIOLETA;DEL MOLINO, SERGIO;ALFAGUARA;1;18,90;18,90;
'9788420431956;LAS PALABRAS ROTAS;GARCÍA MONTERO, LUIS;ALFAGUARA;1;18,90;18,90;
'9788420475714;JURO NO DECIR NUNCA LA VERDAD;JAVIER MARÍAS;ALFAGUARA;1;18,90;18,90;
'9788420434599;EL CUADERNO DEL AÑO DEL NOBEL / THE NOBEL YEAR NOTEBOOK;JOSE SARAMAGO;ALFAGUARA;1;18,90;18,90;
'9788420435657;JUVENTUD DE CRISTAL;LUIS MATEO DÍEZ;ALFAGUARA;1;18,90;18,90;
'9788420454320;MISS MARTE;MANUEL JABOIS;ALFAGUARA;1;18,90;18,90;
'9788420421995;AIRE NUESTRO;"MANUEL VILAS;MANUEL VILAS";ALFAGUARA;1;18,90;18,90;
'9788420439686;ANTOLOGÍA POÉTICA BENEDETTI. SELECCIÓN Y PRÓLOGO DE JOAN MANUEL SERRAT / BENEDETTIS POETIC ANTHOLOGY. SELECTION AND PROLOGUE BY JOAN MANUEL SERRAT;MARIO BENEDETTI;ALFAGUARA;1;18,90;18,90;
'9788420431789;CONVERSACIÓN EN PRINCETON / CONVERSATION AT PRINCETON;MARIO VARGAS LLOSA;ALFAGUARA;1;18,90;18,90;
'9788420475837;LA DESCONOCIDA;"MONTERO, ROSA; TRUC, OLIVIER";ALFAGUARA;1;18,90;18,90;
'9788420437910;QUIÉN NO;PIÑEIRO, CLAUDIA;ALFAGUARA;1;18,90;18,90;
'9788420439440;HIJOS DEL CARBÓN;SABUGAL, NOEMÍ;ALFAGUARA;1;18,90;18,90;
'9788410299160;HAY ALGO QUE NO ES COMO ME DICEN;;ALFAGUARA;1;18,90;18,90;
'9788420482804;GUERRA CIVIL CONTADA A LOS JOVENES, LA;PEREZ REVERTE, ARTURO;ALFAGUARA;1;17,95;17,95;
'9788420478906;EL HOMBRE SOLO;ATXAGA, BERNARDO;ALFAGUARA;1;17,90;17,90;
'9788420478791;ANTIGUA LUZ;BANVILLE, JOHN;ALFAGUARA;1;17,90;17,90;
'9788420431925;LA TREGUA;BENEDETTI, MARIO;ALFAGUARA;1;17,90;17,90;
'9788420473352;CUENTOS SOBRENATURALES;CARLOS FUENTES;ALFAGUARA;1;17,90;17,90;
'9788420473345;CUENTOS NATURALES;CARLOS FUENTES;ALFAGUARA;1;17,90;17,90;
'9788420478555;LAS VIUDAS DE LOS JUEVES;CLAUDIA PIÑEIRO;ALFAGUARA;1;17,90;17,90;
'9788420478876;EL EXPEDIENTE DEL NÁUFRAGO;DÍEZ, LUIS MATEO;ALFAGUARA;1;17,90;17,90;
'9788420478814;QUÉ VAS A HACER CON EL RESTO DE TU VIDA;FERRERO, LAURA;ALFAGUARA;1;17,90;17,90;
'9788420477817;POR QUÉ TE VAS;HOCHMAN, IVÁN;ALFAGUARA;1;17,90;17,90;
'9788420403632;SETECIENTOS MILLONES DE RINOCERONTES;MANUEL VILAS;ALFAGUARA;1;17,90;17,90;
'9788420455716;EL SONIDO DE LAS OLAS / THE SOUND OF THE WAVES;MARGARITA GARCIA ROBAYO;ALFAGUARA;1;17,90;17,90;
'9788420478388;TODAS LAS ALMAS;MARÍA, JAVIER;ALFAGUARA;1;17,90;17,90;
'9788420478852;EL RÍO DEL EDÉN;MERINO, JOSÉ MARÍA;ALFAGUARA;1;17,90;17,90;
'9788420478760;TONTO, MUERTO, BASTARDO E INVISIBLE;MILLÁS, JUAN JOSÉ;ALFAGUARA;1;17,90;17,90;
'9788420478210;LA CARNE;MONTERO, ROSA;ALFAGUARA;1;17,90;17,90;
'9788420478074;CAÍDOS DEL CIELO (60 ANIVERSARIO DE ALFAGUARA) / FALLEN FROM THE SKY;RAY LORIGA;ALFAGUARA;1;17,90;17,90;
'9788420478777;;RIVAS, MANUEL;ALFAGUARA;1;17,90;17,90;
'9788420478890;EL ALBERGUE DE LAS MUJERES TRISTES;SERRANO, MARCELA;ALFAGUARA;1;17,90;17,90;
'9788420478838;VÍA REVOLUCIONARIA;YATES, RICHARD;ALFAGUARA;1;17,90;17,90;
'9788410299009;ESTATUA, LA;GÜNTER GRASS;ALFAGUARA;1;16,90;16,90;
'9788420471952;MIRA SI YO TE QUERRE;LUIS LEANTE;ALFAGUARA;1;6,00;6,00;
'9788420473062;AMANECER;STEPHENIE MEYER;ALFAGUARA;1;6,00;6,00;
'9788420609508;EL DISEÑO GRÁFICO 2ª ED-;SATUÉ, ENRIC;ALIANZA EDITORIAL;1;50,95;50,95;
'9788413627113;MUJERES ARTISTAS;NOCHLIN, LINDA;ALIANZA EDITORIAL;1;46,95;46,95;
'9788420647715;ORIGENES DEL TOTALITARIS;ARENDT, HANNAH;ALIANZA EDITORIAL;1;44,95;44,95;
'9788491042945;ARTE EN ERA DE LO GLOBAL;GUASCH, ANNA MARÍA;ALIANZA EDITORIAL;1;33,95;33,95;
'9788411487207;TIEMPO DE LOBOS;JÄHNER, HARALD;ALIANZA EDITORIAL;1;29,95;29,95;
'9788491042211;VIVIR ANARQUÍA, UTOPIA;EALHAM, CHRIS;ALIANZA EDITORIAL;1;28,95;28,95;
'9788411484602;WINSTON CHURCHILL;ALI, TARIQ;ALIANZA EDITORIAL;1;27,90;27,90;
'9788491816843;LED ZEPPELIN: CUANDO LOS;WALL, MICK;ALIANZA EDITORIAL;1;27,90;27,90;
'9788411487115;LA MEJOR VENGANZA;ABERCROMBIE, JOE;ALIANZA EDITORIAL;1;25,50;25,50;
'9788411483346;DOCUMANIDAD;FERRARIS, MAURIZIO;ALIANZA EDITORIAL;1;24,95;24,95;
'9788411482738;LA RISA DE LAS MUJERES;MELCHIOR-BONNET, SABINE;ALIANZA EDITORIAL;1;24,95;24,95;
'9788420609171;EMPATÍA CERO;BARON-COHEN, SIMON;ALIANZA EDITORIAL;1;23,95;23,95;
