EAN;Título;Autor;Editorial;Stk. Total;Stock eur;PVP
9788437643328;POLÍTICA SEXUAL PORNOGRA;ALARIO, MÓNICA;EDICIONES CÁTEDRA;1;21,50;21,50
9788410138186;ANIMALITOS;ALBA MARTÍNEZ, LUCÍA;ADN EDITORIAL GRUPO ANAYA;2;35,90;17,95
9788419248930;CÓMO DEJAR DE SER TU PEOR ENEMIGO / HOW TO STOP BEING YOUR OWN WORST ENEMY;ALBA. CARDALDA;VERGARA;1;20,90;20,90
9788466388153;EL EXTRANJERO;ALBERT CAMUS;DEBOLSILLO;1;14,96;14,96
9788413627076;UNA BIOGRAFÍA DE LA SOLE;ALBERTI, FAY BOUND;ALIANZA EDITORIAL;2;47,90;23,95
9788490661925;PATRIA O MUERTE;ALBERTO BARRERA TYSZKA;TUSQUETS EDITORES;1;8,00;8,00
9788418690563;LOS SORIAS;ALBERTO LAISECA;EDITORIAL BARRETT;2;83,80;41,90
9788437647265;EL PROCESO AL LIBRO;ALBISSON, MATHILDE;EDICIONES CÁTEDRA;2;51,00;25,50
9788419791832;DOBLE FILO;ALBUJA BAYAS, MARIALUZ;EDITORIAL RENACIMIENTO;1;11,90;11,90
9788410332027;GRAN EPOCA, LA;ALCAZAR, PACO;ASTIBERRI EDICIONES;1;18,00;18,00
9788415934714;SIBERIA UN AÑO DESPUES;ALCIVAR BELLOLIO,DANIELA;CANDAYA,S.L;1;15,00;15,00
9788418504426;QUE FUE EL FUTURO, LO;ALCIVAR BELLOLIO,DANIELA;CANDAYA,S.L;1;17,00;17,00
9788466793155;MUJERCITAS;ALCOTT, LOUISA MAY;ANAYA ELE;2;27,00;13,50
9788469885581;MUJERCITAS;ALCOTT, LOUISA MAY;ANAYA INFANTIL Y JUVENIL;2;27,90;13,95
9788401422850;UN MUNDO FELIZ;ALDOUS HUXLEY;TUSQUETS EDITORES;1;4,00;4,00
9788466367677;UN MUNDO FELIZ;ALDOUS HUXLEY;DEBOLSILLO;3;44,88;14,96
9788498959239;PASOS INCIERTOS;ALEGRÍA, CLARIBEL;VISOR;2;28,00;14,00
9788426425485;DIARIOS;ALEJANDRA PIZARNIK;LUMEN;1;26,90;26,90
9788411002943;PATRIOTA;ALEKSEI NAVAL'NYI;EDICIONES PENÍNSULA;1;23,90;23,90
9788416011841;"EL FIN DEL ""HOMO SOVIETICUS""";ALEKSIÉVICH, SVETLANA;ACANTILADO;2;56,00;28,00
